FIPS,in_Co_190,period,Yield_bu_ac,Prod_g_m2,PPT_wy,Tmax_gs,_90FDays,Pcnt_Cropland_abnd,Grassland,Eros_pct,disturb_min,sand_wt_mean,sandvf_wt_mean,silt_wt_mean,disturbed_wt_mean
19049,yes,drought,43,536.99735,685.3668183,26.49643434,2.875,17.37362798,Tallgrass Prairie,43.34072528,51.43,29.3761047,10.60010081,42.93334898,57.61950958
19049,yes,postdrought,55,689.52845,865.9363133,25.0095884,0.25,7.33003735,Tallgrass Prairie,43.34072528,51.43,29.3761047,10.60010081,42.93334898,57.61950958
19049,yes,predrought,42,526.0126,774.2556708,25.49952383,1.285714286,0.756425486,Tallgrass Prairie,43.34072528,51.43,29.3761047,10.60010081,42.93334898,57.61950958
19051,yes,drought,31,394.1956,787.6254067,27.06793022,1.75,22.13622536,Tallgrass Prairie,97.79966101,51.87,28.81811208,10.0707669,46.81523674,54.03042633
19051,yes,postdrought,39,483.799775,939.5450869,25.97386339,0,7.153303972,Tallgrass Prairie,97.79966101,51.87,28.81811208,10.0707669,46.81523674,54.03042633
19051,yes,predrought,27,343.9796,982.954302,25.62521927,0.857142857,3.117391614,Tallgrass Prairie,97.79966101,51.87,28.81811208,10.0707669,46.81523674,54.03042633
19053,yes,drought,29,359.829025,747.0380965,26.66377558,0.75,20.957685,Tallgrass Prairie,92.75604533,51.87,27.73103117,9.638604967,45.69227989,57.5063551
19053,yes,postdrought,37,467.0088,922.9083241,25.33863352,0,11.92300933,Tallgrass Prairie,92.75604533,51.87,27.73103117,9.638604967,45.69227989,57.5063551
19053,yes,predrought,31,392.4021714,913.4081652,25.53662663,0.428571429,5.001552384,Tallgrass Prairie,92.75604533,51.87,27.73103117,9.638604967,45.69227989,57.5063551
19055,yes,drought,45,561.7915,785.7613135,24.45900756,1.375,4.239749936,Tallgrass Prairie,41.48291253,42.87,29.00853664,9.690711012,46.53098299,52.35807276
19055,yes,postdrought,53,666.30355,895.9009847,23.76958082,0.125,1.988589128,Tallgrass Prairie,41.48291253,42.87,29.00853664,9.690711012,46.53098299,52.35807276
19055,yes,predrought,38,472.5684286,845.7428716,24.01709092,0.428571429,1.020122539,Tallgrass Prairie,41.48291253,42.87,29.00853664,9.690711012,46.53098299,52.35807276
19057,yes,drought,44,551.277525,814.0862496,26.29254391,1.625,18.25169039,Tallgrass Prairie,45.04932735,51.27,21.23653609,8.58526711,50.5214329,54.33799971
19057,yes,postdrought,56,699.2578,924.8139868,25.11581758,0.375,4.713969492,Tallgrass Prairie,45.04932735,51.27,21.23653609,8.58526711,50.5214329,54.33799971
19057,yes,predrought,39,495.3449714,947.3164672,25.16127025,0.571428571,4.207353316,Tallgrass Prairie,45.04932735,51.27,21.23653609,8.58526711,50.5214329,54.33799971
19059,yes,drought,41,519.264825,654.0440339,24.72986363,2,6.713118749,Tallgrass Prairie,4.013563895,54.03,30.7730112,10.27582096,38.43061612,53.68251073
19059,yes,postdrought,48,607.92745,746.9157953,23.38343939,0.375,4.882274756,Tallgrass Prairie,4.013563895,54.03,30.7730112,10.27582096,38.43061612,53.68251073
19059,yes,predrought,33,420.0209714,654.571515,24.36770563,1.142857143,0.433718163,Tallgrass Prairie,4.013563895,54.03,30.7730112,10.27582096,38.43061612,53.68251073
19061,yes,drought,44,557.08375,792.374217,24.47961449,1.25,8.395720498,Tallgrass Prairie,92.15465466,0,14.07182395,6.335150151,56.3904193,46.2789969
19061,yes,postdrought,57,710.713325,868.0217987,23.58747665,0,3.577986071,Tallgrass Prairie,92.15465466,0,14.07182395,6.335150151,56.3904193,46.2789969
19061,yes,predrought,38,471.4923714,836.4206943,24.05297465,0.142857143,1.655510252,Tallgrass Prairie,92.15465466,0,14.07182395,6.335150151,56.3904193,46.2789969
19063,yes,drought,44,554.416025,674.3483854,25.05828124,1.625,7.656351695,Tallgrass Prairie,12.10169775,53.56,30.63700328,10.86639799,40.77028268,55.63600988
19063,yes,postdrought,53,660.183475,772.8692361,23.57917014,0.375,4.800932284,Tallgrass Prairie,12.10169775,53.56,30.63700328,10.86639799,40.77028268,55.63600988
19063,yes,predrought,35,439.5693429,666.3676986,24.6579881,0.571428571,0.71130126,Tallgrass Prairie,12.10169775,53.56,30.63700328,10.86639799,40.77028268,55.63600988
19065,yes,drought,41,519.7356,778.9619936,24.42616943,1.375,5.577593364,Tallgrass Prairie,30.65463701,0,27.24727167,9.203853877,42.82030328,48.47495579
19065,yes,postdrought,48,600.551975,880.5234812,23.92172519,0.25,1.804603884,Tallgrass Prairie,30.65463701,0,27.24727167,9.203853877,42.82030328,48.47495579
19065,yes,predrought,35,442.4388286,822.1504837,23.88299882,0.428571429,1.615561179,Tallgrass Prairie,30.65463701,0,27.24727167,9.203853877,42.82030328,48.47495579
19067,yes,drought,39,495.2553,751.5412175,24.81179871,1.875,5.432719891,Tallgrass Prairie,10.96686027,42.87,32.87200585,10.36746685,42.65353009,54.30476193
19067,yes,postdrought,45,570.89315,847.04487,23.96422728,0.125,1.781931994,Tallgrass Prairie,10.96686027,42.87,32.87200585,10.36746685,42.65353009,54.30476193
19067,yes,predrought,33,408.9017143,766.8304078,24.15391094,0.285714286,1.862732899,Tallgrass Prairie,10.96686027,42.87,32.87200585,10.36746685,42.65353009,54.30476193
19069,yes,drought,45,563.517675,743.8171646,25.09883333,2.375,4.805111426,Tallgrass Prairie,0,52.27,27.5538942,9.654330786,45.53458628,57.1679662
19069,yes,postdrought,52,653.74955,834.0985303,24.03445601,0,2.006566227,Tallgrass Prairie,0,52.27,27.5538942,9.654330786,45.53458628,57.1679662
19069,yes,predrought,37,461.2698286,760.0410715,24.35169312,0.428571429,1.37021822,Tallgrass Prairie,0,52.27,27.5538942,9.654330786,45.53458628,57.1679662
19071,yes,drought,34,423.226725,658.3305358,27.9702381,2.875,18.29587596,Tallgrass Prairie,55.43096359,46.5,9.664275815,4.897295382,60.56153761,59.82908037
19071,yes,postdrought,45,560.065325,863.7056846,26.28739286,1.5,15.07255161,Tallgrass Prairie,55.43096359,46.5,9.664275815,4.897295382,60.56153761,59.82908037
19071,yes,predrought,38,471.3130286,818.5923634,26.56577552,1.285714286,12.8322728,Tallgrass Prairie,55.43096359,46.5,9.664275815,4.897295382,60.56153761,59.82908037
19073,yes,drought,45,560.379175,685.2234237,26.21180965,2,6.971488113,Tallgrass Prairie,20.1728912,53.56,31.23495325,11.05135157,41.39431844,57.38316729
19073,yes,postdrought,54,680.4268,831.7787075,24.85750284,0.25,5.734580867,Tallgrass Prairie,20.1728912,53.56,31.23495325,11.05135157,41.39431844,57.38316729
19073,yes,predrought,38,477.9487143,743.4557629,25.24183119,0.142857143,0.694646413,Tallgrass Prairie,20.1728912,53.56,31.23495325,11.05135157,41.39431844,57.38316729
19075,yes,drought,51,644.6479,763.7224683,25.34266987,2.125,6.560286933,Tallgrass Prairie,0.28091099,42.87,14.15230417,5.772960794,58.38406872,58.56308661
